time,amplitude
0,-0.00227
1,0.00073
2,0.00509
3,0.00454
4,0.00354
5,0.00109
6,-0.00245
7,0.00027
8,0.00332
9,0.00218
10,0.00563
11,0.00509
12,0.00618
13,0.00545
14,0.00168
15,9.00E-05
16,0.00436
17,0.00436
18,-0.00436
19,-0.004
20,0
21,-0.00218
22,0.00227
23,0.00309
24,0.00613
25,0.00995
26,0.00908
27,-0.00618
28,-0.00554
29,0.00531
30,0.00445
31,-0.00236
32,-0.00236
33,0.00527
34,0.00218
35,-0.0015
36,-0.00163
37,-0.00391
38,-0.00127
39,-9.00E-05
40,0.00218
41,0.00372
42,0.00218
43,-0.00145
44,0
45,0.00263
46,0.00254
47,0.00327
48,0.01789
49,-0.00359
50,-0.01362
51,-0.00872
52,-0.00563
53,0.00073
54,-0.00064
55,-0.00309
56,-0.001
57,-0.00109
58,0.005
59,0.00581
60,-0.0119
61,-0.00645
62,-0.001
63,0.00182
64,0.00182
65,0.00027
66,0.00999
67,0.00618
68,-0.00073
69,0.00073
70,0.00436
71,0.00704
72,0.00672
73,0.00372
74,0.00073
75,-0.00109
76,0.00032
77,0.0035
78,0.00259
79,0.00254
80,0.00354
81,0.00509
82,0.004
83,0.00436
84,0.00309
85,0.00291
86,0.003
87,0.00672
88,0.00586
89,0.00563
90,0.002
91,0.00459
92,0.00372
93,0.0153
94,0.01599
95,-0.01467
96,-0.0079
97,-0.00136
98,0.00272
99,0.00345
100,0.00549
101,0.00254
102,-0.00327
103,0.00163
104,0.03715
105,-0.00581
106,-0.01944
107,-0.00336
108,-0.00027
109,0.00672
110,0.00636
111,0.00445
112,0.00136
113,0.004
114,0.00454
115,0.02057
116,0.02289
117,-0.00418
118,-0.03542
119,-0.00536
120,0.00277
121,0.00363
122,0.00554
123,0.00032
124,-0.01072
125,0.00472
126,0.00922
127,0.00881
128,0.00527
129,-0.00563
130,-0.00254
131,0.0069
132,0.00609
133,0.01235
134,0.00436
135,-0.0109
136,-0.00413
137,0.00118
138,0.00572
139,0.00668
140,-0.00018
